"","qseqid","UniprotID","Accession","Gene","Hostcode","Specie","Phenotype","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","Genome"
"20","CAPD01000006.1_238","P60651","PHI:9150","Speb","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",80.1,302,60,0,4,305,3,304,2.47e-186,513,"GCA_000367665.2_ASM36766v2"
"21","CAPE01000026.1_6","P64036","PHI:6420","Ef-p","28901","Salmonella_enterica","increased_virulence_(hypervirulence)",87.8,188,23,0,1,188,1,188,5.32e-120,336,"GCA_000367685.2_ASM36768v2"
"22","CAPE01000026.1_34","D4I208","PHI:7079__PHI:7417","Tssa-3__Eamy__3201","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",94.7,473,18,1,1,473,1,466,0,871,"GCA_000367685.2_ASM36768v2"
"23","CAPE01000026.1_35","D4I209","PHI:7082__PHI:7418","Tsse-2__Eamy__3202","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",98.7,150,2,0,1,150,1,150,2.97e-103,290,"GCA_000367685.2_ASM36768v2"
"24","CAPE01000026.1_36","D4I215","PHI:7424","Eamy__3208","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",95.2,231,11,0,1,231,1,231,1.27e-160,444,"GCA_000367685.2_ASM36768v2"
"25","CAPE01000026.1_39","D4I216","PHI:7425","Eamy__3209","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",97.5,238,6,0,1,238,1,238,1.81e-175,481,"GCA_000367685.2_ASM36768v2"
"26","CAPE01000026.1_40","D4I217","PHI:7426","Eamy__3210","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",95.7,184,8,0,1,184,1,184,6.33e-126,350,"GCA_000367685.2_ASM36768v2"
"27","CAPE01000026.1_41","D4I218","PHI:7110__PHI:7427","Vgrg-4__Eamy__3211","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",97.6,288,7,0,1,288,483,770,6.97e-172,493,"GCA_000367685.2_ASM36768v2"
"28","CAPE01000026.1_42","D4I213","PHI:7422","Eamy__3206","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",96,126,5,0,134,259,63,188,7.6e-83,248,"GCA_000367685.2_ASM36768v2"
"29","CAPE01000026.1_43","D4I218","PHI:7110__PHI:7427","Vgrg-4__Eamy__3211","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",98.1,740,14,0,1,740,1,740,0,1403,"GCA_000367685.2_ASM36768v2"
"30","CAPE01000026.1_44","D4I214","PHI:7423","Eamy__3207","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.1,107,1,0,1,107,35,141,4.11e-74,214,"GCA_000367685.2_ASM36768v2"
"31","CAPE01000026.1_45","D4I220","PHI:7085__PHI:7429","Tssg-2__Eamy__3213","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",98.6,360,5,0,1,360,1,360,6.46e-266,719,"GCA_000367685.2_ASM36768v2"
"32","CAPE01000026.1_46","D4I221","PHI:7083__PHI:7430","Tssf-2__Eamy__3214","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.1,528,5,0,2,529,62,589,0,1076,"GCA_000367685.2_ASM36768v2"
"33","CAPE01000026.1_47","D4I221","PHI:7083__PHI:7430","Tssf-2__Eamy__3214","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,63,0,0,1,63,1,63,3.11e-39,134,"GCA_000367685.2_ASM36768v2"
"34","CAPE01000026.1_48","D4I222","PHI:7078__PHI:7431","Tssa-2__Eamy__3215","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",97.9,535,11,0,1,535,1,535,0,1053,"GCA_000367685.2_ASM36768v2"
"35","CAPE01000026.1_49","D4I223","PHI:7091__PHI:7432","Tssm-3__Eamy__3216","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",98.5,1123,17,0,1,1123,1,1123,0,2182,"GCA_000367685.2_ASM36768v2"
"36","CAPE01000026.1_50","D4I224","PHI:7433","Eamy__3217","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.3,402,3,0,14,415,1,402,5.99e-298,804,"GCA_000367685.2_ASM36768v2"
"37","CAPE01000026.1_51","D4I225","PHI:7434","Eamy__3218","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",95.5,89,4,0,1,89,1,89,1.68e-62,182,"GCA_000367685.2_ASM36768v2"
"38","CAPE01000026.1_52","D4I226","PHI:7435","Eamy__3219","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",90.7,150,14,0,1,150,4,153,3.28e-102,289,"GCA_000367685.2_ASM36768v2"
"39","CAPE01000026.1_53","D4I227","PHI:7093__PHI:7436","Vgrg-2__Eamy__3220","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",98.8,240,3,0,1,240,546,785,5.49e-139,407,"GCA_000367685.2_ASM36768v2"
"40","CAPE01000026.1_54","D4I227","PHI:7093__PHI:7436","Vgrg-2__Eamy__3220","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",98.1,468,9,0,1,468,1,468,0,937,"GCA_000367685.2_ASM36768v2"
"41","CAPE01000026.1_55","D4I228","PHI:7437","Eamy__3221","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",96.9,65,2,0,1,65,1,65,4.95e-40,125,"GCA_000367685.2_ASM36768v2"
"42","CAPE01000026.1_56","D4I229","PHI:7094__PHI:7438","Clpv-2__Eamy__3222","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",98.4,886,14,0,1,886,1,886,0,1680,"GCA_000367685.2_ASM36768v2"
"43","CAPE01000026.1_57","D4I230","PHI:7108__PHI:7439","Hcp-2__Eamy__3223","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,163,0,0,1,163,1,163,6.85e-122,338,"GCA_000367685.2_ASM36768v2"
"44","CAPE01000026.1_58","D4I231","PHI:7440","Eamy__3224","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",98.2,551,10,0,1,551,1,551,0,1073,"GCA_000367685.2_ASM36768v2"
"45","CAPE01000026.1_59","D4I232","PHI:7089__PHI:7441","Tssl-3__Eamy__3225","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",98.7,225,3,0,1,225,1,225,6.41e-162,445,"GCA_000367685.2_ASM36768v2"
"46","CAPE01000026.1_60","D4I233","PHI:7088__PHI:7442","Tssk-2__Eamy__3226","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.1,449,4,0,1,449,1,449,0,889,"GCA_000367685.2_ASM36768v2"
"47","CAPE01000026.1_61","D4I234","PHI:7081__PHI:7443","Tssc-2__Eamy__3227","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.6,513,2,0,1,513,3,515,0,1016,"GCA_000367685.2_ASM36768v2"
"48","CAPE01000026.1_62","D4I235","PHI:7080__PHI:7444","Tssb-2__Eamy__3228","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,165,0,0,1,165,1,165,3.77e-111,311,"GCA_000367685.2_ASM36768v2"
"49","CAPE01000026.1_103","P21345","PHI:124242","Gltp","562","Escherichia_coli","reduced_virulence",81.6,429,79,0,1,429,1,429,6.95e-239,657,"GCA_000367685.2_ASM36768v2"
"50","CAPE01000026.1_104","P27550","PHI:9227","Acs","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",85.1,651,97,0,1,651,1,651,0,1153,"GCA_000367685.2_ASM36768v2"
"51","CAPE01000026.1_106","P32705","PHI:9229","Actp","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",84.2,549,86,1,4,552,2,549,0,882,"GCA_000367685.2_ASM36768v2"
"52","CAPE01000026.1_151","D4I2T0","PHI:9310","Pgi","552","Erwinia_amylovora","reduced_virulence",99.3,547,4,0,1,547,1,547,0,1089,"GCA_000367685.2_ASM36768v2"
"53","CAPE01000026.1_155","D4I2T4","PHI:9313","Meta","552","Erwinia_amylovora","reduced_virulence",99.4,309,2,0,1,309,1,309,2.51e-235,637,"GCA_000367685.2_ASM36768v2"
"54","JMSO01000099.1_8","A0A0F6B1X1","PHI:7657","Pspa","28901","Salmonella_enterica","reduced_virulence__unaffected_pathogenicity",86.3,219,30,0,1,219,1,219,2.18e-117,332,"GCA_001078075.1_ASM107807v1"
"55","JMSO01000099.1_9","A0A0F6B1X0","PHI:7658","Pspb","28901","Salmonella_enterica","reduced_virulence",81.1,74,13,1,1,74,1,73,2.52e-35,113,"GCA_001078075.1_ASM107807v1"
"56","JMSO01000233.1_35","A0A0F6B6Z8","PHI:6984","Mcpc","28901","Salmonella_enterica","reduced_virulence",83.7,43,7,0,516,558,364,406,7.98e-11,63.5,"GCA_001078075.1_ASM107807v1"
"57","JMSO01000084.1_1","L0MK13","PHI:4075","Flhd","615","Serratia_marcescens","unaffected_pathogenicity",81,116,21,1,1,115,1,116,4.15e-60,179,"GCA_001078075.1_ASM107807v1"
"58","JMSO01000084.1_2","Q6D6J4","PHI:124495","Flhc","29471","Pectobacterium_atrosepticum","reduced_virulence",82.3,192,34,0,1,192,1,192,2.57e-113,319,"GCA_001078075.1_ASM107807v1"
"59","JMSO01000084.1_3","A0A0E9B8Z9","PHI:6361","Mota","553","Pantoea_ananatis","reduced_virulence",86.7,293,38,1,1,292,1,293,4.07e-179,494,"GCA_001078075.1_ASM107807v1"
"60","JMSO01000084.1_6","P0A964","PHI:6536","Chew","562","Escherichia_coli","unaffected_pathogenicity",87.8,164,20,0,1,164,1,164,1.43e-95,272,"GCA_001078075.1_ASM107807v1"
"61","JMSO01000084.1_11","P04042","PHI:6461","Cheb","28901","Salmonella_enterica","reduced_virulence",86.2,349,48,0,1,349,1,349,3.77e-216,592,"GCA_001078075.1_ASM107807v1"
"62","JMSO01000084.1_12","P0A2D5","PHI:8732__PHI:10049","Chey","28901","Salmonella_enterica","reduced_virulence",88.4,129,15,0,1,129,1,129,1.28e-78,226,"GCA_001078075.1_ASM107807v1"
"63","JMSO01000084.1_15","P40729","PHI:8731","Flha","28901","Salmonella_enterica","reduced_virulence",87.5,694,84,2,1,694,1,691,0,1144,"GCA_001078075.1_ASM107807v1"
"64","JMSO01000033.1_17","D4I0R7","PHI:7416","Eamy__3028","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",85,167,24,1,4,169,1,167,1.35e-101,288,"GCA_001078075.1_ASM107807v1"
"65","JMSO01000033.1_19","D4I0R5","PHI:7087__PHI:7414","Tssk-1__Eamy__3026","552","Erwinia_amylovora","reduced_virulence__effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)",85.7,447,64,0,1,447,1,447,6.37e-285,775,"GCA_001078075.1_ASM107807v1"
"66","JMSO01000033.1_20","D4I0R4","PHI:7103__PHI:7413","Tssl-1__Eamy__3025","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",87.9,412,49,1,1,411,1,412,5.06e-267,726,"GCA_001078075.1_ASM107807v1"
"67","JMSO01000033.1_21","D4I0R3","PHI:7090__PHI:7412","Tssm-1__Eamy__3024","552","Erwinia_amylovora","reduced_virulence__effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)",87.9,1211,143,3,1,1208,1,1210,0,2114,"GCA_001078075.1_ASM107807v1"
"68","JMSO01000033.1_24","D4I0R0","PHI:7098__PHI:7409","Tssb-1__Eamy__3021","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",88.2,178,21,0,1,178,1,178,4.27e-112,315,"GCA_001078075.1_ASM107807v1"
"69","JMSO01000033.1_25","D4I0Q9","PHI:7099__PHI:7408","Tssc-1__Eamy__3020","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",96,499,20,0,1,499,1,499,0,973,"GCA_001078075.1_ASM107807v1"
"70","JMSO01000033.1_27","W8DVN3","PHI:3408","Tssd","553","Pantoea_ananatis","unaffected_pathogenicity",95,160,8,0,1,160,1,160,3.02e-110,309,"GCA_001078075.1_ASM107807v1"
"71","JMSO01000068.1_19","Q8ZNK8","PHI:11609","Yeie","28901","Salmonella_enterica","reduced_virulence",80.8,286,55,0,1,286,1,286,2.47e-165,459,"GCA_001078075.1_ASM107807v1"
"72","JMSO01000140.1_7","P96058","PHI:560","Sira","28901","Salmonella_enterica","reduced_virulence",86.6,217,29,0,1,217,1,217,8.05e-130,363,"GCA_001078075.1_ASM107807v1"
"73","JMSO01000223.1_3","P50334","PHI:124230","Dcta","28901","Salmonella_enterica","unaffected_pathogenicity",89.4,415,44,0,1,415,1,415,3.63e-255,697,"GCA_001078075.1_ASM107807v1"
"74","JMSO01000115.1_5","D4I230","PHI:7108__PHI:7439","Hcp-2__Eamy__3223","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",84,163,26,0,1,163,1,163,8.23e-105,295,"GCA_001078075.1_ASM107807v1"
"75","JMSO01000115.1_9","D4I234","PHI:7081__PHI:7443","Tssc-2__Eamy__3227","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",87.5,513,64,0,1,513,3,515,0,916,"GCA_001078075.1_ASM107807v1"
"76","JMSO01000115.1_10","D4I235","PHI:7080__PHI:7444","Tssb-2__Eamy__3228","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",80.6,165,32,0,1,165,1,165,2.75e-88,254,"GCA_001078075.1_ASM107807v1"
"77","JMSO01000115.1_26","J9XY03","PHI:9947","Eha","636","Edwardsiella_tarda","reduced_virulence",92.4,66,5,0,13,78,1,66,2.83e-39,125,"GCA_001078075.1_ASM107807v1"
"78","JMSO01000034.1_2","D4I0Q0","PHI:7399","Eamy__3011","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",91.3,264,23,0,1,264,1,264,8.31e-182,498,"GCA_001078075.1_ASM107807v1"
"79","JMSO01000034.1_5","D4I0P7","PHI:7100__PHI:7396","Tsse-1__Eamy__3008","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",88.3,188,22,0,1,188,1,188,9.2e-121,338,"GCA_001078075.1_ASM107807v1"
"80","JMSO01000034.1_6","D4I0P6","PHI:7101__PHI:7395","Tssf-1__Eamy__3007","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",87.7,624,77,0,1,624,1,624,0,1108,"GCA_001078075.1_ASM107807v1"
"81","JMSO01000034.1_7","D4I0P5","PHI:7084__PHI:7394","Tssg-1__Eamy__3006","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",80.3,346,68,0,3,348,7,352,4.3e-212,582,"GCA_001078075.1_ASM107807v1"
"82","JMSO01000034.1_8","D4I0P4","PHI:7106__PHI:7393","Clpv-1__Eamy__3005","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",92.1,869,69,0,1,869,1,869,0,1543,"GCA_001078075.1_ASM107807v1"
"83","JMSO01000078.1_4","A0A0F6B5S8","PHI:10082","Stm14_rs15345","28901","Salmonella_enterica","unaffected_pathogenicity",81,295,56,0,7,301,7,301,5.96e-172,477,"GCA_001078075.1_ASM107807v1"
"84","JMSO01000078.1_6","A0A0F6B5T0","PHI:10084","Stm14_rs15355","28901","Salmonella_enterica","unaffected_pathogenicity",84.4,282,44,0,1,282,1,282,4.3e-167,463,"GCA_001078075.1_ASM107807v1"
"85","JMSO01000078.1_8","P17750","PHI:11381","Katg","28901","Salmonella_enterica","reduced_virulence",83.1,714,121,0,23,736,12,725,0,1222,"GCA_001078075.1_ASM107807v1"
"86","JMSO01000228.1_3","D4I4J9","PHI:10919","Eaadep_(eamy_3685)","552","Erwinia_amylovora","reduced_virulence",92.9,325,23,0,1,325,113,437,1.26e-201,558,"GCA_001078075.1_ASM107807v1"
"87","LAGP01000055.1_86","P50334","PHI:124230","Dcta","28901","Salmonella_enterica","unaffected_pathogenicity",89.4,415,44,0,1,415,1,415,3.63e-255,697,"GCA_001602545.1_ASM160254v1"
"88","LAGP01000055.1_155","P43019","PHI:11376","Soda","28901","Salmonella_enterica","reduced_virulence",87.4,206,25,1,1,205,1,206,7.7e-133,370,"GCA_001602545.1_ASM160254v1"
"89","LAGP01000055.1_161","P32176","PHI:10994","Fdog","562","Escherichia_coli","unaffected_pathogenicity",85.1,195,29,0,1,195,1,195,1.09e-115,350,"GCA_001602545.1_ASM160254v1"
"90","LAGP01000055.1_162","P32176","PHI:10994","Fdog","562","Escherichia_coli","unaffected_pathogenicity",82.1,804,143,1,1,803,213,1016,0,1396,"GCA_001602545.1_ASM160254v1"
"91","LAGP01000050.1_9","H9L4I8","PHI:11152","Hcp2","28901","Salmonella_enterica","reduced_virulence__increased_virulence_(hypervirulence)",82.5,160,28,0,4,163,5,164,1.38e-89,258,"GCA_001602545.1_ASM160254v1"
"92","LAGP01000050.1_70","P21345","PHI:124242","Gltp","562","Escherichia_coli","reduced_virulence",81.7,427,78,0,1,427,1,427,3.59e-239,658,"GCA_001602545.1_ASM160254v1"
"93","LAGP01000050.1_71","P27550","PHI:9227","Acs","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",87.3,651,83,0,1,651,1,651,0,1194,"GCA_001602545.1_ASM160254v1"
"94","LAGP01000050.1_73","P32705","PHI:9229","Actp","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",86,549,76,1,4,552,2,549,0,897,"GCA_001602545.1_ASM160254v1"
"95","LAGP01000050.1_134","D4I2T0","PHI:9310","Pgi","552","Erwinia_amylovora","reduced_virulence",89.4,547,58,0,1,547,1,547,0,1006,"GCA_001602545.1_ASM160254v1"
"96","LAGP01000050.1_150","D4I2T4","PHI:9313","Meta","552","Erwinia_amylovora","reduced_virulence",91.9,309,25,0,1,309,1,309,1.27e-219,598,"GCA_001602545.1_ASM160254v1"
"97","LAGP01000037.1_10","P96058","PHI:560","Sira","28901","Salmonella_enterica","reduced_virulence",86.6,217,29,0,1,217,1,217,8.05e-130,363,"GCA_001602545.1_ASM160254v1"
"98","LAGP01000058.1_69","A0A0F6B6Z8","PHI:6984","Mcpc","28901","Salmonella_enterica","reduced_virulence",83.7,43,7,0,516,558,364,406,7.98e-11,63.5,"GCA_001602545.1_ASM160254v1"
"99","LAGP01000027.1_2","P0A9E5","PHI:4876__PHI:7248","Fnr","562","Escherichia_coli","reduced_virulence",91.2,251,21,1,1,251,1,250,3.89e-162,447,"GCA_001602545.1_ASM160254v1"
"100","LAGP01000038.1_5","A0A6C7HPB2","PHI:10387","Sen1538","28901","Salmonella_enterica","reduced_virulence",83.3,30,5,0,1,30,1,30,9.95e-11,50.1,"GCA_001602545.1_ASM160254v1"
"101","LAGQ01000103.1_47","A0A0F6B6Z8","PHI:6984","Mcpc","28901","Salmonella_enterica","reduced_virulence",83.7,43,7,0,516,558,364,406,7.98e-11,63.5,"GCA_001602555.1_ASM160255v1"
"102","LAGQ01000058.1_5","A0A6C7HPB2","PHI:10387","Sen1538","28901","Salmonella_enterica","reduced_virulence",83.3,30,5,0,1,30,1,30,9.95e-11,50.1,"GCA_001602555.1_ASM160255v1"
"103","LAGQ01000078.1_36","H9L4I8","PHI:11152","Hcp2","28901","Salmonella_enterica","reduced_virulence__increased_virulence_(hypervirulence)",82.5,160,28,0,4,163,5,164,1.38e-89,258,"GCA_001602555.1_ASM160255v1"
"104","LAGQ01000036.1_7","D4HW76","PHI:9324","Hisa","552","Erwinia_amylovora","unaffected_pathogenicity__reduced_virulence",88.6,245,28,0,1,245,1,245,1.84e-155,430,"GCA_001602555.1_ASM160255v1"
"105","LAGQ01000036.1_12","B5QZL1","PHI:5109","Prt","28901","Salmonella_enterica","reduced_virulence",88.6,299,34,0,1,299,1,299,2.93e-188,518,"GCA_001602555.1_ASM160255v1"
"106","LAGQ01000036.1_18","A0A2K8QMN2","PHI:124412","Plap","1778540","Dickeya_fangzhongdai","reduced_virulence",89.8,442,45,0,12,453,9,450,2.72e-287,781,"GCA_001602555.1_ASM160255v1"
"107","LAGQ01000043.1_8","A0A0F6B1X1","PHI:7657","Pspa","28901","Salmonella_enterica","reduced_virulence__unaffected_pathogenicity",86.3,219,30,0,1,219,1,219,2.18e-117,332,"GCA_001602555.1_ASM160255v1"
"108","LAGQ01000043.1_9","A0A0F6B1X0","PHI:7658","Pspb","28901","Salmonella_enterica","reduced_virulence",81.1,74,13,1,1,74,1,73,2.52e-35,113,"GCA_001602555.1_ASM160255v1"
"109","LAGQ01000043.1_57","P0A9E5","PHI:4876__PHI:7248","Fnr","562","Escherichia_coli","reduced_virulence",91.2,251,21,1,1,251,1,250,3.89e-162,447,"GCA_001602555.1_ASM160255v1"
"110","LAGQ01000101.1_3","D4I4J9","PHI:10919","Eaadep_(eamy_3685)","552","Erwinia_amylovora","reduced_virulence",94.1,437,26,0,1,437,1,437,2.1e-278,757,"GCA_001602555.1_ASM160255v1"
"111","LAGQ01000079.1_32","P21345","PHI:124242","Gltp","562","Escherichia_coli","reduced_virulence",81.7,427,78,0,1,427,1,427,3.59e-239,658,"GCA_001602555.1_ASM160255v1"
"112","LAGQ01000079.1_33","P27550","PHI:9227","Acs","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",87.3,651,83,0,1,651,1,651,0,1194,"GCA_001602555.1_ASM160255v1"
"113","LAGQ01000079.1_35","P32705","PHI:9229","Actp","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",86,549,76,1,4,552,2,549,0,897,"GCA_001602555.1_ASM160255v1"
"114","LAGQ01000093.1_7","P50334","PHI:124230","Dcta","28901","Salmonella_enterica","unaffected_pathogenicity",89.4,415,44,0,1,415,1,415,3.63e-255,697,"GCA_001602555.1_ASM160255v1"
"115","MAZB01000145.1_5","D2TR63",NA,NA,NA,NA,NA,85.1,242,36,0,1,242,1,242,6.47e-143,398,"GCA_001689725.1_ASM168972v1"
