"","contig_id","contig_length","provirus","proviral_length","gene_count","viral_genes","host_genes","checkv_quality","miuvig_quality","completeness","completeness_method","contamination","kmer_freq","warnings","Genome","contig_fasta","Genomefasta"
"34","LAGQ01000187.1",10279,"No",NA,16,11,0,"Low-quality","Genome-fragment",26.8,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602555.1_ASM160255v1","LAGQ01000187.1","CheckV/GCA_001602555.1"
"35","LAGQ01000029.1|provirus_201675_228437",26763,"No",NA,48,17,1,"Medium-quality","Genome-fragment",51.39,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602555.1_ASM160255v1","LAGQ01000029.1","CheckV/GCA_001602555.1"
"36","LAGQ01000032.1|provirus_1_7390",7390,"No",NA,12,7,1,"Low-quality","Genome-fragment",16.83,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602555.1_ASM160255v1","LAGQ01000032.1","CheckV/GCA_001602555.1"
"37","LAGQ01000057.1|provirus_2_18823",18822,"Yes",15794,30,14,2,"Low-quality","Genome-fragment",37.65,"AAI-based","(medium-confidence)",16.09,"1","CheckV/GCA_001602555.1_ASM160255v1","LAGQ01000057.1","CheckV/GCA_001602555.1"
"38","LAGQ01000070.1|provirus_5208_18487",13280,"No",NA,21,16,0,"Low-quality","Genome-fragment",39.64,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602555.1_ASM160255v1","LAGQ01000070.1","CheckV/GCA_001602555.1"
"39","LAGQ01000070.1|provirus_28777_62779",34003,"No",NA,45,35,1,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602555.1_ASM160255v1","LAGQ01000070.1","CheckV/GCA_001602555.1"
"40","MAZB01000115.1",6449,"Yes",6335,7,2,1,"Low-quality","Genome-fragment",17.56,"AAI-based","(medium-confidence)",1.77,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000115.1","CheckV/GCA_001689725.1"
"41","MAZB01000127.1",5905,"No",NA,6,2,0,"Low-quality","Genome-fragment",17.81,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000127.1","CheckV/GCA_001689725.1"
"42","MAZB01000142.1",5282,"No",NA,10,3,0,"Low-quality","Genome-fragment",8.59,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000142.1","CheckV/GCA_001689725.1"
"43","MAZB01000144.1",5171,"Yes",4994,7,1,1,"Low-quality","Genome-fragment",16.54,"AAI-based","(high-confidence)",3.42,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000144.1","CheckV/GCA_001689725.1"
"44","MAZB01000147.1",5034,"Yes",1907,4,1,1,"Low-quality","Genome-fragment",4.21,"AAI-based","(medium-confidence)",62.12,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000147.1","CheckV/GCA_001689725.1"
"45","MAZB01000176.1",4235,"No",NA,5,0,1,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000176.1","CheckV/GCA_001689725.1"
"46","MAZB01000201.1",3584,"No",NA,3,0,1,"Low-quality","Genome-fragment",1.09,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000201.1","CheckV/GCA_001689725.1"
"47","MAZB01000047.1",11953,"Yes",7461,16,4,4,"Low-quality","Genome-fragment",21.15,"AAI-based","(high-confidence)",37.58,"1.01","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000047.1","CheckV/GCA_001689725.1"
"48","MAZB01000054.1",11231,"No",NA,14,7,2,"Low-quality","Genome-fragment",31.82,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000054.1","CheckV/GCA_001689725.1"
"49","MAZB01000061.1",10330,"No",NA,17,7,1,"Low-quality","Genome-fragment",31.68,"AAI-based","(medium-confidence)",0,"1.03","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000061.1","CheckV/GCA_001689725.1"
"50","MAZB01000063.1",10205,"No",NA,15,6,1,"Low-quality","Genome-fragment",17.08,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000063.1","CheckV/GCA_001689725.1"
"51","MAZB01000076.1",9254,"No",NA,11,0,6,"Not-determined","Genome-fragment",NA,NA,"0.0",1.01,"no","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000076.1","CheckV/GCA_001689725.1"
"52","MAZB01000082.1",8502,"No",NA,12,6,1,"Low-quality","Genome-fragment",23.49,"AAI-based","(medium-confidence)",0,"1.01","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000082.1","CheckV/GCA_001689725.1"
"53","MAZB01000094.1",7741,"Yes",5665,12,6,3,"Low-quality","Genome-fragment",8.08,"HMM-based","(lower-bound)",26.82,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000094.1","CheckV/GCA_001689725.1"
"54","MAZB01000046.1|provirus_1_6420",6420,"No",NA,11,5,0,"Low-quality","Genome-fragment",15.81,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000046.1","CheckV/GCA_001689725.1"
"55","MAZB01000067.1|provirus_5700_10020",4321,"No",NA,9,3,0,"Low-quality","Genome-fragment",8.62,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000067.1","CheckV/GCA_001689725.1"
"56","MAZB01000007.1|provirus_256_15914",15659,"Yes",11806,26,16,3,"Low-quality","Genome-fragment",33.63,"AAI-based","(high-confidence)",24.61,"1.0","CheckV/GCA_001689725.1_ASM168972v1","MAZB01000007.1","CheckV/GCA_001689725.1"
"57","DBOK01000058.1|provirus_21883_38870",16988,"No",NA,23,15,0,"Medium-quality","Genome-fragment",51.03,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_002299595.1_ASM229959v1","DBOK01000058.1","CheckV/GCA_002299595.1"
"58","DBOK01000144.1|provirus_6481_12814",6334,"No",NA,11,7,0,"Low-quality","Genome-fragment",17.55,"AAI-based","(medium-confidence)",0,"1","CheckV/GCA_002299595.1_ASM229959v1","DBOK01000144.1","CheckV/GCA_002299595.1"
"59","DENB01000055.1|provirus_54174_101730",47557,"Yes",42736,69,42,2,"High-quality","High-quality",98.37,"AAI-based","(high-confidence)",10.14,"1","CheckV/GCA_002359495.1_ASM235949v1","DENB01000055.1","CheckV/GCA_002359495.1"
"60","DENB01000033.1|provirus_6046_21557",15512,"No",NA,23,11,0,"Low-quality","Genome-fragment",36.84,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_002359495.1_ASM235949v1","DENB01000033.1","CheckV/GCA_002359495.1"
"61","DENB01000095.1|provirus_21863_53127",31265,"No",NA,42,33,0,"High-quality","High-quality",93.86,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_002359495.1_ASM235949v1","DENB01000095.1","CheckV/GCA_002359495.1"
"62","DENB01000038.1|provirus_32853_75396",42544,"Yes",34261,57,27,5,"High-quality","High-quality",96.91,"AAI-based","(medium-confidence)",19.47,"1","CheckV/GCA_002359495.1_ASM235949v1","DENB01000038.1","CheckV/GCA_002359495.1"
"63","DICA01000013.1|provirus_86827_110646",23820,"No",NA,39,22,1,"Medium-quality","Genome-fragment",61.57,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_002415165.1_ASM241516v1","DICA01000013.1","CheckV/GCA_002415165.1"
"64","DICA01000040.1|provirus_85192_122846",37655,"Yes",31024,45,31,2,"High-quality","High-quality",94.77,"AAI-based","(high-confidence)",17.61,"1","CheckV/GCA_002415165.1_ASM241516v1","DICA01000040.1","CheckV/GCA_002415165.1"
"65","DICA01000019.1|provirus_26_15898",15873,"No",NA,24,15,0,"Low-quality","Genome-fragment",41.15,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_002415165.1_ASM241516v1","DICA01000019.1","CheckV/GCA_002415165.1"
"66","NQJK01000007.1|provirus_340793_356602",15810,"No",NA,19,8,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_002732135.1_ASM273213v1","NQJK01000007.1","CheckV/GCA_002732135.1"
"67","MTCH01000109.1",16982,"Yes",11681,20,3,7,"Low-quality","Genome-fragment",10.83,"HMM-based","(lower-bound)",31.22,"1.01","CheckV/GCA_002752575.1_ASM275257v1","MTCH01000109.1","CheckV/GCA_002752575.1"
"68","MTCH01000166.1",6932,"No",NA,10,0,1,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_002752575.1_ASM275257v1","MTCH01000166.1","CheckV/GCA_002752575.1"
"69","MTCH01000287.1",713,"No",NA,1,1,0,"Low-quality","Genome-fragment",1.53,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_002752575.1_ASM275257v1","MTCH01000287.1","CheckV/GCA_002752575.1"
"70","MTCH01000065.1",27270,"No",NA,40,2,1,"Low-quality","Genome-fragment",35.72,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCA_002752575.1_ASM275257v1","MTCH01000065.1","CheckV/GCA_002752575.1"
"71","MTCH01000028.1|provirus_7396_41950",34555,"No",NA,45,26,0,"Medium-quality","Genome-fragment",86.15,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_002752575.1_ASM275257v1","MTCH01000028.1","CheckV/GCA_002752575.1"
"72","MTCH01000053.1|provirus_23755_30527",6773,"No",NA,13,10,0,"Low-quality","Genome-fragment",20.6,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_002752575.1_ASM275257v1","MTCH01000053.1","CheckV/GCA_002752575.1"
"73","MTCH01000054.1|provirus_115_5807",5693,"No",NA,7,7,0,"Low-quality","Genome-fragment",16.62,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_002752575.1_ASM275257v1","MTCH01000054.1","CheckV/GCA_002752575.1"
"74","DNUQ01000098.1",3614,"No",NA,7,5,0,"Low-quality","Genome-fragment",10.97,"AAI-based","(high-confidence)",0,"1.01","CheckV/GCA_003507845.1_ASM350784v1","DNUQ01000098.1","CheckV/GCA_003507845.1"
"75","DNUQ01000028.1",2854,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003507845.1_ASM350784v1","DNUQ01000028.1","CheckV/GCA_003507845.1"
"76","DNUQ01000162.1",7574,"No",NA,8,0,7,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003507845.1_ASM350784v1","DNUQ01000162.1","CheckV/GCA_003507845.1"
"77","DNUQ01000033.1",2829,"No",NA,2,0,0,"Low-quality","Genome-fragment",1.49,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003507845.1_ASM350784v1","DNUQ01000033.1","CheckV/GCA_003507845.1"
"78","DNUQ01000019.1",3410,"No",NA,4,4,0,"Low-quality","Genome-fragment",1.59,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003507845.1_ASM350784v1","DNUQ01000019.1","CheckV/GCA_003507845.1"
"79","DNUQ01000012.1",5430,"Yes",2115,5,1,4,"Low-quality","Genome-fragment",0.77,"HMM-based","(lower-bound)",61.05,"1.0","CheckV/GCA_003507845.1_ASM350784v1","DNUQ01000012.1","CheckV/GCA_003507845.1"
"80","DNUQ01000329.1",12565,"No",NA,14,11,0,"Low-quality","Genome-fragment",30.85,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003507845.1_ASM350784v1","DNUQ01000329.1","CheckV/GCA_003507845.1"
"81","DNUQ01000096.1",2717,"No",NA,8,3,0,"Low-quality","Genome-fragment",6.28,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003507845.1_ASM350784v1","DNUQ01000096.1","CheckV/GCA_003507845.1"
"82","DNUM01000138.1",3380,"Yes",1521,5,1,1,"Low-quality","Genome-fragment",3.09,"AAI-based","(high-confidence)",55,"1.0","CheckV/GCA_003507915.1_ASM350791v1","DNUM01000138.1","CheckV/GCA_003507915.1"
"83","DNUM01000508.1",3049,"No",NA,3,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003507915.1_ASM350791v1","DNUM01000508.1","CheckV/GCA_003507915.1"
"84","DNUM01000397.1",7977,"No",NA,8,0,7,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003507915.1_ASM350791v1","DNUM01000397.1","CheckV/GCA_003507915.1"
"85","DNUM01000376.1",2959,"No",NA,4,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003507915.1_ASM350791v1","DNUM01000376.1","CheckV/GCA_003507915.1"
"86","DNUM01000268.1",7389,"No",NA,10,9,0,"Low-quality","Genome-fragment",21.92,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003507915.1_ASM350791v1","DNUM01000268.1","CheckV/GCA_003507915.1"
"87","DNUM01000085.1",6254,"Yes",4064,7,5,1,"Low-quality","Genome-fragment",4.66,"HMM-based","(lower-bound)",35.02,"1.0","CheckV/GCA_003507915.1_ASM350791v1","DNUM01000085.1","CheckV/GCA_003507915.1"
"88","DNUL01000318.1",5685,"No",NA,3,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003507935.1_ASM350793v1","DNUL01000318.1","CheckV/GCA_003507935.1"
"89","DNUL01000204.1",3730,"No",NA,8,7,0,"Low-quality","Genome-fragment",11.19,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003507935.1_ASM350793v1","DNUL01000204.1","CheckV/GCA_003507935.1"
"90","DNUL01000041.1",3048,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003507935.1_ASM350793v1","DNUL01000041.1","CheckV/GCA_003507935.1"
"91","DNUL01000363.1",2697,"No",NA,4,0,3,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003507935.1_ASM350793v1","DNUL01000363.1","CheckV/GCA_003507935.1"
"92","DNUL01000359.1",4318,"Yes",2745,4,1,1,"Low-quality","Genome-fragment",1.4,"AAI-based","(medium-confidence)",36.43,"1.0","CheckV/GCA_003507935.1_ASM350793v1","DNUL01000359.1","CheckV/GCA_003507935.1"
"93","DOLK01000274.1",4086,"Yes",3203,5,4,1,"Low-quality","Genome-fragment",9.74,"AAI-based","(medium-confidence)",21.61,"1.0","CheckV/GCA_003509515.1_ASM350951v1","DOLK01000274.1","CheckV/GCA_003509515.1"
"94","DOLK01000143.1",3547,"No",NA,8,6,0,"Low-quality","Genome-fragment",10.66,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003509515.1_ASM350951v1","DOLK01000143.1","CheckV/GCA_003509515.1"
"95","DOLK01000018.1",4630,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003509515.1_ASM350951v1","DOLK01000018.1","CheckV/GCA_003509515.1"
"96","DOLK01000333.1",3597,"No",NA,4,4,0,"Low-quality","Genome-fragment",10.41,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003509515.1_ASM350951v1","DOLK01000333.1","CheckV/GCA_003509515.1"
"97","DOLK01000459.1",10447,"No",NA,10,0,8,"Low-quality","Genome-fragment",5.34,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003509515.1_ASM350951v1","DOLK01000459.1","CheckV/GCA_003509515.1"
"98","DOLK01000487.1|provirus_561_4661",4101,"No",NA,6,5,0,"Low-quality","Genome-fragment",2.22,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003509515.1_ASM350951v1","DOLK01000487.1","CheckV/GCA_003509515.1"
"99","DOLI01000484.1",3171,"No",NA,8,7,0,"Low-quality","Genome-fragment",9.61,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000484.1","CheckV/GCA_003510065.1"
"100","DOLI01000295.1",3614,"No",NA,2,0,2,"Low-quality","Genome-fragment",1.1,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000295.1","CheckV/GCA_003510065.1"
"101","DOLI01000462.1",3147,"No",NA,2,0,0,"Low-quality","Genome-fragment",1.66,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000462.1","CheckV/GCA_003510065.1"
"102","DOLI01000033.1",11098,"No",NA,10,0,8,"Low-quality","Genome-fragment",6,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000033.1","CheckV/GCA_003510065.1"
"103","DOLI01000393.1",3262,"No",NA,5,5,0,"Low-quality","Genome-fragment",1.62,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000393.1","CheckV/GCA_003510065.1"
"104","DOLI01000203.1",5345,"No",NA,8,6,0,"Low-quality","Genome-fragment",15.65,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000203.1","CheckV/GCA_003510065.1"
"105","DOLI01000273.1",6122,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000273.1","CheckV/GCA_003510065.1"
"106","DOLI01000066.1",3337,"No",NA,3,0,1,"Low-quality","Genome-fragment",0.33,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000066.1","CheckV/GCA_003510065.1"
"107","DOLI01000537.1",2747,"No",NA,5,4,0,"Low-quality","Genome-fragment",5.98,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000537.1","CheckV/GCA_003510065.1"
"108","DOLI01000499.1",4126,"Yes",3205,5,4,1,"Low-quality","Genome-fragment",9.48,"AAI-based","(medium-confidence)",22.32,"1.0","CheckV/GCA_003510065.1_ASM351006v1","DOLI01000499.1","CheckV/GCA_003510065.1"
"109","DOLJ01000052.1",2539,"No",NA,2,0,1,"Low-quality","Genome-fragment",4.76,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003510685.1_ASM351068v1","DOLJ01000052.1","CheckV/GCA_003510685.1"
"110","DOLJ01000384.1",2989,"No",NA,5,4,0,"Low-quality","Genome-fragment",8.65,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_003510685.1_ASM351068v1","DOLJ01000384.1","CheckV/GCA_003510685.1"
"111","DOLJ01000231.1",2726,"No",NA,2,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003510685.1_ASM351068v1","DOLJ01000231.1","CheckV/GCA_003510685.1"
"112","DOLJ01000280.1",3548,"No",NA,2,0,1,"Low-quality","Genome-fragment",1.97,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003510685.1_ASM351068v1","DOLJ01000280.1","CheckV/GCA_003510685.1"
"113","DOLJ01000313.1",3928,"No",NA,6,0,2,"Low-quality","Genome-fragment",1.46,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_003510685.1_ASM351068v1","DOLJ01000313.1","CheckV/GCA_003510685.1"
"114","DOLJ01000163.1",5505,"No",NA,3,0,2,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_003510685.1_ASM351068v1","DOLJ01000163.1","CheckV/GCA_003510685.1"
"115","DOOK01000180.1",10967,"No",NA,16,9,1,"Low-quality","Genome-fragment",26.02,"AAI-based","(medium-confidence)",0,"1","CheckV/GCA_003512805.1_ASM351280v1","DOOK01000180.1","CheckV/GCA_003512805.1"
