"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Genome"
"35","CBVT010000007.1_CAS_Class1-Subtype-I-E_9","Cas","CAS_Class1-Subtype-I-E","Defense","CBVT010000007.1_81","CBVT010000007.1_88","CBVT010000007.1_81,CBVT010000007.1_82,CBVT010000007.1_83,CBVT010000007.1_84,CBVT010000007.1_85,CBVT010000007.1_86,CBVT010000007.1_87,CBVT010000007.1_88",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_2,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","GCA_000513395.1"
"36","CBVT010000007.1_Mok_Hok_Sok_4","Mok_Hok_Sok","Mok_Hok_Sok","Defense","CBVT010000007.1_323","CBVT010000007.1_323","CBVT010000007.1_323",1,"Mok_Hok_Sok__Hok","GCA_000513395.1"
"37","CBVT010000008.1_RM_Type_II_8","RM","RM_Type_II","Defense","CBVT010000008.1_246","CBVT010000008.1_247","CBVT010000008.1_246,CBVT010000008.1_247",2,"RM_Type_II__Type_II_MTases_FAM_5,RM_Type_II__Type_II_REase09","GCA_000513395.1"
"38","CBVS010000002.1_RM_Type_IV_6","RM","RM_Type_IV","Defense","CBVS010000002.1_44","CBVS010000002.1_45","CBVS010000002.1_44,CBVS010000002.1_45",2,"RM_Type_IV__FAM_1,RM_Type_IV__Type_IV_01","GCA_000513415.1"
"39","CBVS010000005.1_Dnd_ABCDEFGH_2","Dnd","Dnd_ABCDEFGH","Defense","CBVS010000005.1_117","CBVS010000005.1_125","CBVS010000005.1_117,CBVS010000005.1_118,CBVS010000005.1_119,CBVS010000005.1_122,CBVS010000005.1_123,CBVS010000005.1_124,CBVS010000005.1_125",7,"Dnd_ABCDEFGH__DptF,Dnd_ABCDEFGH__DptG,Dnd_ABCDEFGH__DptH,Dnd__DndB,Dnd__DndC,Dnd__DndD,Dnd__DndE","GCA_000513415.1"
"40","CBVS010000006.1_RM_Type_III_7","RM","RM_Type_III","Defense","CBVS010000006.1_12","CBVS010000006.1_13","CBVS010000006.1_12,CBVS010000006.1_13",2,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","GCA_000513415.1"
"41","CBVS010000006.1_Prometheus_3","Prometheus","Prometheus","Defense","CBVS010000006.1_1337","CBVS010000006.1_1337","CBVS010000006.1_1337",1,"Prometheus__ProA","GCA_000513415.1"
"42","CBVS010000006.1_RM_Type_IV_8","RM","RM_Type_IV","Defense","CBVS010000006.1_1338","CBVS010000006.1_1338","CBVS010000006.1_1338",1,"RM_Type_IV__Type_IV_03","GCA_000513415.1"
"43","CBVS010000007.1_CAS_Class1-Subtype-I-E_9","Cas","CAS_Class1-Subtype-I-E","Defense","CBVS010000007.1_81","CBVS010000007.1_88","CBVS010000007.1_81,CBVS010000007.1_82,CBVS010000007.1_83,CBVS010000007.1_84,CBVS010000007.1_85,CBVS010000007.1_86,CBVS010000007.1_87,CBVS010000007.1_88",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_2,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","GCA_000513415.1"
"44","CBVS010000007.1_Mok_Hok_Sok_4","Mok_Hok_Sok","Mok_Hok_Sok","Defense","CBVS010000007.1_323","CBVS010000007.1_323","CBVS010000007.1_323",1,"Mok_Hok_Sok__Hok","GCA_000513415.1"
"45","CBVS010000008.1_RM_Type_II_5","RM","RM_Type_II","Defense","CBVS010000008.1_246","CBVS010000008.1_247","CBVS010000008.1_246,CBVS010000008.1_247",2,"RM_Type_II__Type_II_MTases_FAM_5,RM_Type_II__Type_II_REase09","GCA_000513415.1"
"46","JMSO01000243.1_RM_Type_II_5","RM","RM_Type_II","Defense","JMSO01000243.1_24","JMSO01000243.1_25","JMSO01000243.1_24,JMSO01000243.1_25",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase27","GCA_001078075.1"
"47","JMSO01000023.1_Dnd_ABCDE_3","Dnd","Dnd_ABCDE","Defense","JMSO01000023.1_2","JMSO01000023.1_5","JMSO01000023.1_2,JMSO01000023.1_3,JMSO01000023.1_4,JMSO01000023.1_5",4,"Dnd__DndB,Dnd__DndC,Dnd__DndD,Dnd__DndE","GCA_001078075.1"
"48","JMSO01000227.1_Septu_1","Septu","Septu","Defense","JMSO01000227.1_8","JMSO01000227.1_9","JMSO01000227.1_8,JMSO01000227.1_9",2,"Retron_I_A__HNH_TIGR02646,Septu__PtuA","GCA_001078075.1"
"49","JMSO01000227.1_SoFic_2","SoFIC","SoFic","Defense","JMSO01000227.1_38","JMSO01000227.1_38","JMSO01000227.1_38",1,"SoFic__SoFic","GCA_001078075.1"
"50","JMSO01000224.1_HEC-09_4","HEC-09","HEC-09","Defense","JMSO01000224.1_8","JMSO01000224.1_8","JMSO01000224.1_8",1,"HEC-09__HEC-09","GCA_001078075.1"
"51","JMSO01000314.1_RM_Type_II_6","RM","RM_Type_II","Defense","JMSO01000314.1_1","JMSO01000314.1_2","JMSO01000314.1_1,JMSO01000314.1_2",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase01","GCA_001078075.1"
"52","JMSO01000392.1_RM_Type_I_8","RM","RM_Type_I","Defense","JMSO01000392.1_1","JMSO01000392.1_2","JMSO01000392.1_1,JMSO01000392.1_2",2,"RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06","GCA_001078075.1"
"53","JMSO01000416.1_RM_Type_IV_9","RM","RM_Type_IV","Defense","JMSO01000416.1_3","JMSO01000416.1_3","JMSO01000416.1_3",1,"RM_Type_IV__Type_IV_03","GCA_001078075.1"
"54","LAGP01000024.1_Kiwa_3","Kiwa","Kiwa","Defense","LAGP01000024.1_1","LAGP01000024.1_2","LAGP01000024.1_1,LAGP01000024.1_2",2,"Kiwa__KwaA,Kiwa__KwaB","GCA_001602545.1"
"55","LAGP01000024.1_RM_Type_I_6","RM","RM_Type_I","Defense","LAGP01000024.1_3","LAGP01000024.1_5","LAGP01000024.1_3,LAGP01000024.1_4,LAGP01000024.1_5",3,"RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06","GCA_001602545.1"
"56","LAGP01000081.1_RM_Type_II_8","RM","RM_Type_II","Defense","LAGP01000081.1_47","LAGP01000081.1_48","LAGP01000081.1_47,LAGP01000081.1_48",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase09","GCA_001602545.1"
"57","LAGP01000101.1_RM_Type_IV_9","RM","RM_Type_IV","Defense","LAGP01000101.1_4","LAGP01000101.1_4","LAGP01000101.1_4",1,"RM_Type_IV__Type_IV_03","GCA_001602545.1"
"58","LAGP01000055.1_HEC-09_1","HEC-09","HEC-09","Defense","LAGP01000055.1_95","LAGP01000055.1_95","LAGP01000055.1_95",1,"HEC-09__HEC-09","GCA_001602545.1"
"59","LAGP01000055.1_Septu_2","Septu","Septu","Defense","LAGP01000055.1_152","LAGP01000055.1_153","LAGP01000055.1_152,LAGP01000055.1_153",2,"Retron_I_A__HNH_TIGR02646,Septu__PtuA","GCA_001602545.1"
"60","LAGP01000056.1_SoFic_4","SoFIC","SoFic","Defense","LAGP01000056.1_7","LAGP01000056.1_7","LAGP01000056.1_7",1,"SoFic__SoFic","GCA_001602545.1"
"61","LAGP01000066.1_RM_Type_II_7","RM","RM_Type_II","Defense","LAGP01000066.1_8","LAGP01000066.1_9","LAGP01000066.1_8,LAGP01000066.1_9",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase27","GCA_001602545.1"
"62","LAGQ01000018.1_Dnd_ABCDE_2","Dnd","Dnd_ABCDE","Defense","LAGQ01000018.1_3","LAGQ01000018.1_6","LAGQ01000018.1_3,LAGQ01000018.1_4,LAGQ01000018.1_5,LAGQ01000018.1_6",4,"Dnd__DndB,Dnd__DndC,Dnd__DndD,Dnd__DndE","GCA_001602555.1"
"63","LAGQ01000094.1_HEC-09_5","HEC-09","HEC-09","Defense","LAGQ01000094.1_1","LAGQ01000094.1_1","LAGQ01000094.1_1",1,"HEC-09__HEC-09","GCA_001602555.1"
"64","LAGQ01000179.1_RM_Type_IV_8","RM","RM_Type_IV","Defense","LAGQ01000179.1_8","LAGQ01000179.1_8","LAGQ01000179.1_8",1,"RM_Type_IV__Type_IV_03","GCA_001602555.1"
"65","LAGQ01000099.1_Septu_4","Septu","Septu","Defense","LAGQ01000099.1_8","LAGQ01000099.1_9","LAGQ01000099.1_8,LAGQ01000099.1_9",2,"Retron_I_A__HNH_TIGR02646,Septu__PtuA","GCA_001602555.1"
"66","LAGQ01000100.1_SoFic_3","SoFIC","SoFic","Defense","LAGQ01000100.1_7","LAGQ01000100.1_7","LAGQ01000100.1_7",1,"SoFic__SoFic","GCA_001602555.1"
"67","LAGQ01000004.1_Hna_6","Hna","Hna","Defense","LAGQ01000004.1_1","LAGQ01000004.1_1","LAGQ01000004.1_1",1,"Hna__Hna","GCA_001602555.1"
"68","LAGQ01000108.1_PD-T4-5_7","PD-T4-5","PD-T4-5","Defense","LAGQ01000108.1_8","LAGQ01000108.1_8","LAGQ01000108.1_8",1,"PD-T4-5__PD-T4-5","GCA_001602555.1"
"69","LAGQ01000187.1_VP1839_1","VP1839","VP1839","Defense","LAGQ01000187.1_11","LAGQ01000187.1_11","LAGQ01000187.1_11",1,"VP1839__VP1839","GCA_001602555.1"
"70","MAZB01000009.1_PrrC_1","PrrC","PrrC","Defense","MAZB01000009.1_14","MAZB01000009.1_19","MAZB01000009.1_14,MAZB01000009.1_16,MAZB01000009.1_17,MAZB01000009.1_18,MAZB01000009.1_19",5,"PrrC__PrrC,RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_04","GCA_001689725.1"
"71","DBOK01000074.1_SDIC3_1","SDIC3","SDIC3","Defense","DBOK01000074.1_56","DBOK01000074.1_60","DBOK01000074.1_56,DBOK01000074.1_57,DBOK01000074.1_58,DBOK01000074.1_59,DBOK01000074.1_60",5,"SDIC3__SDIC3B,SDIC3__SDIC3C,SDIC3__SDIC3D,SDIC3__SDIC3E,SDIC3__SDIC3F","GCA_002299595.1"
"72","DBOK01000071.1_AbiU_2","AbiU","AbiU","Defense","DBOK01000071.1_34","DBOK01000071.1_34","DBOK01000071.1_34",1,"AbiU__AbiU","GCA_002299595.1"
"73","DENB01000020.1_RM_Type_II_2","RM","RM_Type_II","Defense","DENB01000020.1_1","DENB01000020.1_2","DENB01000020.1_1,DENB01000020.1_2",2,"RM_Type_II__Type_II_MTases_FAM_41,RM_Type_II__Type_II_REase25","GCA_002359495.1"
"74","DENB01000064.1_AbiU_1","AbiU","AbiU","Defense","DENB01000064.1_1","DENB01000064.1_1","DENB01000064.1_1",1,"AbiU__AbiU","GCA_002359495.1"
"75","DICA01000016.1_DS-43_3","DS-43","DS-43","Defense","DICA01000016.1_101","DICA01000016.1_101","DICA01000016.1_101",1,"DS-43__DS-43","GCA_002415165.1"
"76","DICA01000031.1_Gao_Her_DUF_1","Gao_Her","Gao_Her_DUF","Defense","DICA01000031.1_74","DICA01000031.1_75","DICA01000031.1_74,DICA01000031.1_75",2,"Gao_Her_DUF__DUF4297,Gao_Her_DUF__HerA_DUF","GCA_002415165.1"
"77","DICA01000024.1_MazEF_2","MazEF","MazEF","Defense","DICA01000024.1_199","DICA01000024.1_200","DICA01000024.1_199,DICA01000024.1_200",2,"MazEF__MazE,MazEF__MazF","GCA_002415165.1"
"78","DICA01000019.1_VP1839_4","VP1839","VP1839","Defense","DICA01000019.1_41","DICA01000019.1_41","DICA01000019.1_41",1,"VP1839__VP1839","GCA_002415165.1"
"79","DICA01000004.1_GAPS2_5","GAPS2","GAPS2","Defense","DICA01000004.1_3","DICA01000004.1_3","DICA01000004.1_3",1,"GAPS2__GAPS2","GCA_002415165.1"
"80","DICA01000018.1_RM_Type_II_6","RM","RM_Type_II","Defense","DICA01000018.1_20","DICA01000018.1_21","DICA01000018.1_20,DICA01000018.1_21",2,"RM_Type_II__Type_II_MTases_FAM_15,RM_Type_II__Type_II_REase16","GCA_002415165.1"
"81","NQJK01000001.1_RM_Type_III_6","RM","RM_Type_III","Defense","NQJK01000001.1_126","NQJK01000001.1_127","NQJK01000001.1_126,NQJK01000001.1_127",2,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","GCA_002732135.1"
"82","NQJK01000001.1_RM_Type_II_5","RM","RM_Type_II","Defense","NQJK01000001.1_974","NQJK01000001.1_975","NQJK01000001.1_974,NQJK01000001.1_975",2,"RM_Type_II__Type_II_MTases_FAM_5,RM_Type_II__Type_II_REase09","GCA_002732135.1"
"83","NQJK01000001.1_Dnd_ABCDEFGH_3","Dnd","Dnd_ABCDEFGH","Defense","NQJK01000001.1_1266","NQJK01000001.1_1275","NQJK01000001.1_1266,NQJK01000001.1_1267,NQJK01000001.1_1268,NQJK01000001.1_1272,NQJK01000001.1_1273,NQJK01000001.1_1274,NQJK01000001.1_1275",7,"Dnd_ABCDEFGH__DptF,Dnd_ABCDEFGH__DptG,Dnd_ABCDEFGH__DptH,Dnd__DndB,Dnd__DndC,Dnd__DndD,Dnd__DndE","GCA_002732135.1"
"84","NQJK01000004.1_RM_Type_IV_8","RM","RM_Type_IV","Defense","NQJK01000004.1_319","NQJK01000004.1_319","NQJK01000004.1_319",1,"RM_Type_IV__Type_IV_03","GCA_002732135.1"
"85","NQJK01000004.1_Mok_Hok_Sok_1","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NQJK01000004.1_434","NQJK01000004.1_434","NQJK01000004.1_434",1,"Mok_Hok_Sok__Hok","GCA_002732135.1"
"86","NQJK01000004.1_CAS_Class1-Subtype-I-E_9","Cas","CAS_Class1-Subtype-I-E","Defense","NQJK01000004.1_697","NQJK01000004.1_704","NQJK01000004.1_697,NQJK01000004.1_698,NQJK01000004.1_699,NQJK01000004.1_700,NQJK01000004.1_701,NQJK01000004.1_702,NQJK01000004.1_703,NQJK01000004.1_704",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_2,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","GCA_002732135.1"
"87","NQJK01000005.1_Mok_Hok_Sok_4","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NQJK01000005.1_48","NQJK01000005.1_48","NQJK01000005.1_48",1,"Mok_Hok_Sok__Hok","GCA_002732135.1"
"88","NQJK01000007.1_RM_Type_IV_7","RM","RM_Type_IV","Defense","NQJK01000007.1_184","NQJK01000007.1_184","NQJK01000007.1_184",1,"RM_Type_IV__FAM_1","GCA_002732135.1"
"89","MTCH01000108.1_Hypnos_4","Hypnos","Hypnos","Defense","MTCH01000108.1_1","MTCH01000108.1_1","MTCH01000108.1_1",1,"Hypnos__HyoA","GCA_002752575.1"
"90","MTCH01000133.1_BREX_I_3","BREX","BREX_I","Defense","MTCH01000133.1_1","MTCH01000133.1_4","MTCH01000133.1_1,MTCH01000133.1_2,MTCH01000133.1_3,MTCH01000133.1_4",4,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1","GCA_002752575.1"
"91","MTCH01000147.1_PARIS_II_8","Paris","PARIS_II","Defense","MTCH01000147.1_4","MTCH01000147.1_5","MTCH01000147.1_4,MTCH01000147.1_5",2,"Paris_II__AriA_AAA21,Paris_II__AriB_DUF4435_II","GCA_002752575.1"
