"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Genome","Genome2"
"13","GCA_001602545.1_ASM160254v1_genomic_plasmid_proteins_HEC-09_1","HEC-09","HEC-09","Defense","LAGP01000055.1_99","LAGP01000055.1_99","LAGP01000055.1_99",1,"HEC-09__HEC-09","GCA_001602545.1","GCA_001602545.1"
"14","GCA_001602545.1_ASM160254v1_genomic_plasmid_proteins_Septu_3","Septu","Septu","Defense","LAGP01000055.1_158","LAGP01000055.1_159","LAGP01000055.1_158,LAGP01000055.1_159",2,"Retron_I_A__HNH_TIGR02646,Septu__PtuA","GCA_001602545.1","GCA_001602545.1"
"15","GCA_001602545.1_ASM160254v1_genomic_plasmid_proteins_Toga_4","Toga","Toga","Defense","LAGP01000066.1_7","LAGP01000066.1_7","LAGP01000066.1_7",1,"Toga__Toga","GCA_001602545.1","GCA_001602545.1"
"16","GCA_001602545.1_ASM160254v1_genomic_plasmid_proteins_DNA_met_RM_Type_II_PDDEXK_6","RM_Type_II","DNA_met_RM_Type_II_PDDEXK","Defense","LAGP01000066.1_8","LAGP01000066.1_9","LAGP01000066.1_8,LAGP01000066.1_9",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase27","GCA_001602545.1","GCA_001602545.1"
"17","GCA_001602555.1_ASM160255v1_genomic_plasmid_proteins_Dnd_ABCDE_1","Dnd","Dnd_ABCDE","Defense","LAGQ01000018.1_3","LAGQ01000018.1_6","LAGQ01000018.1_3,LAGQ01000018.1_4,LAGQ01000018.1_5,LAGQ01000018.1_6",4,"Dnd__DndB,Dnd__DndC,Dnd__DndD,Dnd__DndE","GCA_001602555.1","GCA_001602555.1"
"18","GCA_001602555.1_ASM160255v1_genomic_plasmid_proteins_Other_Type_IV_2","Other_Type_IV","Other_Type_IV","Defense","LAGQ01000179.1_8","LAGQ01000179.1_8","LAGQ01000179.1_8",1,"RM_Type_IV__Type_IV_03","GCA_001602555.1","GCA_001602555.1"
"19","GCA_001602555.1_ASM160255v1_genomic_plasmid_proteins_Other_Type_IV_2","Other_Type_IV","Other_Type_IV","Defense","LAGQ01000179.1_8","LAGQ01000179.1_8","LAGQ01000179.1_8",1,"RM_Type_IV__Type_IV_03","GCA_001602555.1","GCA_001602555.1"
"20","GCA_001602555.1_ASM160255v1_genomic_plasmid_proteins_RM_Type_IV_4","RM","RM_Type_IV","Defense","LAGQ01000179.1_8","LAGQ01000179.1_8","LAGQ01000179.1_8",1,"RM_Type_IV__Type_IV_03","GCA_001602555.1","GCA_001602555.1"
"21","GCA_001602555.1_ASM160255v1_genomic_plasmid_proteins_RM_Type_IV_4","RM","RM_Type_IV","Defense","LAGQ01000179.1_8","LAGQ01000179.1_8","LAGQ01000179.1_8",1,"RM_Type_IV__Type_IV_03","GCA_001602555.1","GCA_001602555.1"
"22","GCA_001602555.1_ASM160255v1_genomic_plasmid_proteins_PD-T4-5_3","PD-T4-5","PD-T4-5","Defense","LAGQ01000108.1_8","LAGQ01000108.1_8","LAGQ01000108.1_8",1,"PD-T4-5__PD-T4-5","GCA_001602555.1","GCA_001602555.1"
"23","GCA_001689725.1_ASM168972v1_genomic_plasmid_proteins_N6_RM_Type_I_1","RM_Type_I","N6_RM_Type_I","Defense","MAZB01000009.1_14","MAZB01000009.1_19","MAZB01000009.1_14,MAZB01000009.1_17,MAZB01000009.1_18,MAZB01000009.1_19",4,"RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_04","GCA_001689725.1","GCA_001689725.1"
"24","GCA_001689725.1_ASM168972v1_genomic_plasmid_proteins_PrrC_2","PrrC","PrrC","Defense","MAZB01000009.1_16","MAZB01000009.1_16","MAZB01000009.1_16",1,"PrrC__PrrC","GCA_001689725.1","GCA_001689725.1"
"25","GCA_002299595.1_ASM229959v1_genomic_plasmid_proteins_Kongming_1","Kongming","Kongming","Defense","DBOK01000041.1_56","DBOK01000041.1_57","DBOK01000041.1_56,DBOK01000041.1_57",2,"Kongming__KomB,Kongming__KomC","GCA_002299595.1","GCA_002299595.1"
"26","GCA_002359495.1_ASM235949v1_genomic_plasmid_proteins_Kongming_1","Kongming","Kongming","Defense","DENB01000025.1_2","DENB01000025.1_3","DENB01000025.1_2,DENB01000025.1_3",2,"Kongming__KomB,Kongming__KomC","GCA_002359495.1","GCA_002359495.1"
"27","GCA_002415165.1_ASM241516v1_genomic_plasmid_proteins_DS-43_1","DS-43","DS-43","Defense","DICA01000016.1_102","DICA01000016.1_102","DICA01000016.1_102",1,"DS-43__DS-43","GCA_002415165.1","GCA_002415165.1"
"28","GCA_002752575.1_ASM275257v1_genomic_plasmid_proteins_Hypnos_4","Hypnos","Hypnos","Defense","MTCH01000108.1_1","MTCH01000108.1_1","MTCH01000108.1_1",1,"Hypnos__HyoA","GCA_002752575.1","GCA_002752575.1"
"29","GCA_002752575.1_ASM275257v1_genomic_plasmid_proteins_BREX_I_1","BREX","BREX_I","Defense","MTCH01000133.1_1","MTCH01000133.1_4","MTCH01000133.1_1,MTCH01000133.1_2,MTCH01000133.1_3,MTCH01000133.1_4",4,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1","GCA_002752575.1","GCA_002752575.1"
"30","GCA_002752575.1_ASM275257v1_genomic_plasmid_proteins_PARIS_II_6","Paris","PARIS_II","Defense","MTCH01000147.1_4","MTCH01000147.1_5","MTCH01000147.1_4,MTCH01000147.1_5",2,"Paris_II__AriA_AAA21,Paris_II__AriB_DUF4435_II","GCA_002752575.1","GCA_002752575.1"
"31","GCA_002752575.1_ASM275257v1_genomic_plasmid_proteins_HEC-09_3","HEC-09","HEC-09","Defense","MTCH01000152.1_5","MTCH01000152.1_5","MTCH01000152.1_5",1,"HEC-09__HEC-09","GCA_002752575.1","GCA_002752575.1"
"32","GCA_002752575.1_ASM275257v1_genomic_plasmid_proteins_Mok_Hok_Sok_5","Mok_Hok_Sok","Mok_Hok_Sok","Defense","MTCH01000178.1_2","MTCH01000178.1_2","MTCH01000178.1_2",1,"Mok_Hok_Sok__Mok","GCA_002752575.1","GCA_002752575.1"
"33","GCA_002752575.1_ASM275257v1_genomic_plasmid_proteins_ENDPaCF1_2","ENDPaCF1","ENDPaCF1","Defense","MTCH01000081.1_23","MTCH01000081.1_23","MTCH01000081.1_23",1,"ENDPaCF1__ENDPaCF1","GCA_002752575.1","GCA_002752575.1"
"34","GCA_002752575.1_ASM275257v1_genomic_plasmid_proteins_VcaM4I_9","VcaM4I","VcaM4I","Defense","MTCH01000087.1_15","MTCH01000087.1_15","MTCH01000087.1_15",1,"VcaM4I__VcaM4I","GCA_002752575.1","GCA_002752575.1"
"35","GCA_002752575.1_ASM275257v1_genomic_plasmid_proteins_PD-Lambda-1_7","PD-Lambda-1","PD-Lambda-1","Defense","MTCH01000095.1_8","MTCH01000095.1_8","MTCH01000095.1_8",1,"PD-Lambda-1__PD-Lambda-1","GCA_002752575.1","GCA_002752575.1"
"36","GCA_003507935.1_ASM350793v1_genomic_plasmid_proteins_Septu_1","Septu","Septu","Defense","DNUL01000332.1_7","DNUL01000332.1_8","DNUL01000332.1_7,DNUL01000332.1_8",2,"Retron_I_A__HNH_TIGR02646,Septu__PtuA","GCA_003507935.1","GCA_003507935.1"
"37","GCA_003510685.1_ASM351068v1_genomic_plasmid_proteins_Clover_1","Clover","Clover","Defense","DOLJ01000151.1_1","DOLJ01000151.1_2","DOLJ01000151.1_1,DOLJ01000151.1_2",2,"Clover__CloA,Clover__CloB","GCA_003510685.1","GCA_003510685.1"
"38","GCA_014353905.1_ASM1435390v1_genomic_plasmid_proteins_CBASS_II_Phospholipase_9","CBASS","CBASS_II_Phospholipase","Defense","JACSWU010000147.1_1","JACSWU010000147.1_4","JACSWU010000147.1_1,JACSWU010000147.1_2,JACSWU010000147.1_3,JACSWU010000147.1_4",4,"CBASS__AG_E2_Prok-E2_B,CBASS__Cyclase_II,CBASS__Jab,CBASS__Phospholipase","GCA_014353905.1","GCA_014353905.1"
"39","GCA_014353905.1_ASM1435390v1_genomic_plasmid_proteins_RM_Type_II_16","RM","RM_Type_II","Defense","JACSWU010000158.1_3","JACSWU010000158.1_4","JACSWU010000158.1_3,JACSWU010000158.1_4",2,"RM_Type_II__Type_II_MTases_FAM_15,RM_Type_II__Type_II_REase16","GCA_014353905.1","GCA_014353905.1"
"40","GCA_014353905.1_ASM1435390v1_genomic_plasmid_proteins_Menshen_14","Menshen","Menshen","Defense","JACSWU010000158.1_5","JACSWU010000158.1_7","JACSWU010000158.1_5,JACSWU010000158.1_6,JACSWU010000158.1_7",3,"Menshen__NsnA,Menshen__NsnB,Menshen__NsnC_2726213746","GCA_014353905.1","GCA_014353905.1"
"41","GCA_014353905.1_ASM1435390v1_genomic_plasmid_proteins_AbiC_1","AbiC","AbiC","Defense","JACSWU010000293.1_4","JACSWU010000293.1_4","JACSWU010000293.1_4",1,"AbiC__AbiC","GCA_014353905.1","GCA_014353905.1"
"42","GCA_014353905.1_ASM1435390v1_genomic_plasmid_proteins_DS-38_13","DS-38","DS-38","Defense","JACSWU010000061.1_14","JACSWU010000061.1_14","JACSWU010000061.1_14",1,"DS-38__DS-38","GCA_014353905.1","GCA_014353905.1"
"43","GCA_032005465.1_ASM3200546v1_genomic_plasmid_proteins_RM_Type_I_2","RM","RM_Type_I","Defense","DALZNU010000047.1_5","DALZNU010000047.1_7","DALZNU010000047.1_5,DALZNU010000047.1_6,DALZNU010000047.1_7",3,"RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51","GCA_032005465.1","GCA_032005465.1"
"44","GCA_036866075.1_ASM3686607v1_genomic_plasmid_proteins_N6_N4_RM_Type_II_PDDEXK_1","RM_Type_II","N6_N4_RM_Type_II_PDDEXK","Defense","CP142292.1_3","CP142292.1_12","CP142292.1_3,CP142292.1_4,CP142292.1_7,CP142292.1_8,CP142292.1_11,CP142292.1_12",6,"RM_Type_II__Type_II_MTases_FAM_25,RM_Type_II__Type_II_MTases_FAM_25,RM_Type_II__Type_II_MTases_FAM_25,RM_Type_II__Type_II_REase29,RM_Type_II__Type_II_REase29,RM_Type_II__Type_II_REase29","GCA_036866075.1","GCA_036866075.1"
"45","GCA_036866075.1_ASM3686607v1_genomic_plasmid_proteins_N6_N4_RM_Type_II_PDDEXK_2","RM_Type_II","N6_N4_RM_Type_II_PDDEXK","Defense","CP142292.1_17","CP142292.1_18","CP142292.1_17,CP142292.1_18",2,"RM_Type_II__Type_II_MTases_FAM_25,RM_Type_II__Type_II_REase29","GCA_036866075.1","GCA_036866075.1"
"46","GCA_037031965.1_ASM3703196v1_genomic_plasmid_proteins_Septu_1","Septu","Septu","Defense","JAZBKD010000066.1_8","JAZBKD010000066.1_9","JAZBKD010000066.1_8,JAZBKD010000066.1_9",2,"Septu__PtuA,Septu__PtuB","GCA_037031965.1","GCA_037031965.1"
"47","GCA_037031965.1_ASM3703196v1_genomic_plasmid_proteins_radar_II_2","RADAR","radar_II","Defense","JAZBKD010000074.1_1","JAZBKD010000074.1_3","JAZBKD010000074.1_1,JAZBKD010000074.1_2,JAZBKD010000074.1_3",3,"radar_II__rdrA_II,radar_II__rdrB_II,radar_II__rdrD_II","GCA_037031965.1","GCA_037031965.1"
"48","GCA_037031985.1_ASM3703198v1_genomic_plasmid_proteins_Septu_2","Septu","Septu","Defense","JAZBKI010000026.1_7","JAZBKI010000026.1_8","JAZBKI010000026.1_7,JAZBKI010000026.1_8",2,"Septu__PtuA_2,Septu__PtuB_2","GCA_037031985.1","GCA_037031985.1"
"49","GCA_037031985.1_ASM3703198v1_genomic_plasmid_proteins_Clover_1","Clover","Clover","Defense","JAZBKI010000062.1_16","JAZBKI010000062.1_17","JAZBKI010000062.1_16,JAZBKI010000062.1_17",2,"Clover__CloA,Clover__CloB","GCA_037031985.1","GCA_037031985.1"
"50","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_Clover_1","Clover","Clover","Defense","JAZBMS010000032.1_50","JAZBMS010000032.1_51","JAZBMS010000032.1_50,JAZBMS010000032.1_51",2,"Clover__CloA,Clover__CloB","GCA_037033865.1","GCA_037033865.1"
"51","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_Gao_Qat_7","Gao_Qat","Gao_Qat","Defense","JAZBMS010000049.1_14","JAZBMS010000049.1_17","JAZBMS010000049.1_14,JAZBMS010000049.1_15,JAZBMS010000049.1_16,JAZBMS010000049.1_17",4,"Gao_Qat__QatA,Gao_Qat__QatB,Gao_Qat__QatC,Gao_Qat__QatD","GCA_037033865.1","GCA_037033865.1"
"52","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_PD-T4-5_8","PD-T4-5","PD-T4-5","Defense","JAZBMS010000049.1_26","JAZBMS010000049.1_26","JAZBMS010000049.1_26",1,"PD-T4-5__PD-T4-5","GCA_037033865.1","GCA_037033865.1"
"53","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_Dnd_ABCDEFGH_4","Dnd","Dnd_ABCDEFGH","Defense","JAZBMS010000066.1_3","JAZBMS010000066.1_11","JAZBMS010000066.1_3,JAZBMS010000066.1_4,JAZBMS010000066.1_5,JAZBMS010000066.1_6,JAZBMS010000066.1_9,JAZBMS010000066.1_10,JAZBMS010000066.1_11",7,"Dnd_ABCDEFGH__DptF,Dnd_ABCDEFGH__DptG,Dnd_ABCDEFGH__DptH,Dnd__DndB,Dnd__DndC,Dnd__DndD,Dnd__DndE","GCA_037033865.1","GCA_037033865.1"
"54","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_RM_Type_I_13","RM","RM_Type_I","Defense","JAZBMS010000069.1_5","JAZBMS010000069.1_7","JAZBMS010000069.1_5,JAZBMS010000069.1_6,JAZBMS010000069.1_7",3,"RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52","GCA_037033865.1","GCA_037033865.1"
"55","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_PhiR47_GevAT_10","PhiR47_GevAT","PhiR47_GevAT","Defense","JAZBMS010000071.1_6","JAZBMS010000071.1_7","JAZBMS010000071.1_6,JAZBMS010000071.1_7",2,"PhiR47_GevAT__GevA,PhiR47_GevAT__GevT","GCA_037033865.1","GCA_037033865.1"
"56","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_PD-T7-2_9","PD-T7-2","PD-T7-2","Defense","JAZBMS010000076.1_6","JAZBMS010000076.1_7","JAZBMS010000076.1_6,JAZBMS010000076.1_7",2,"PD-T7-2__PD-T7-2_A,PD-T7-2__PD-T7-2_B","GCA_037033865.1","GCA_037033865.1"
"57","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_Druantia_III_5","Druantia","Druantia_III","Defense","JAZBMS010000082.1_1","JAZBMS010000082.1_2","JAZBMS010000082.1_1,JAZBMS010000082.1_2",2,"Druantia_III__DruH,Druantia__DruE_3","GCA_037033865.1","GCA_037033865.1"
"58","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_DS-38_2","DS-38","DS-38","Defense","JAZBMS010000083.1_9","JAZBMS010000083.1_9","JAZBMS010000083.1_9",1,"DS-38__DS-38","GCA_037033865.1","GCA_037033865.1"
"59","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_Dsr_I_6","Dsr","Dsr_I","Defense","JAZBMS010000086.1_9","JAZBMS010000086.1_9","JAZBMS010000086.1_9",1,"Dsr_I__Dsr1","GCA_037033865.1","GCA_037033865.1"
"60","GCA_037033865.1_ASM3703386v1_genomic_plasmid_proteins_Thoeris_IV_11","Thoeris","Thoeris_IV","Defense","JAZBMS010000095.1_3","JAZBMS010000095.1_5","JAZBMS010000095.1_3,JAZBMS010000095.1_4,JAZBMS010000095.1_5",3,"Thoeris__ThsA_Caps4,Thoeris__ThsB_5,Thoeris__ThsB_acc2","GCA_037033865.1","GCA_037033865.1"
"61","GCA_913775305.1_S2C118127_SP301_genomic_plasmid_proteins_pAgo_S2B_1","pAgo","pAgo_S2B","Defense","CAJYIY010000004.1_21","CAJYIY010000004.1_22","CAJYIY010000004.1_21,CAJYIY010000004.1_22",2,"pAgo__XAPAZ,pAgo__pAgo_S2B","GCA_913775305.1","GCA_913775305.1"
"62","GCA_913775305.1_S2C118127_SP301_genomic_plasmid_proteins_RM_Type_II_3","RM","RM_Type_II","Defense","CAJYIY010000068.1_1","CAJYIY010000068.1_2","CAJYIY010000068.1_1,CAJYIY010000068.1_2",2,"RM_Type_II__Type_II_MTases_FAM_32,RM_Type_II__Type_II_REase22","GCA_913775305.1","GCA_913775305.1"
"63","GCA_936920615.1_SRR3184099_bin.6_CONCOCT_v1.1_MAG_genomic_plasmid_proteins_Mok_Hok_Sok_2","Mok_Hok_Sok","Mok_Hok_Sok","Defense","CAKZHG010000205.1_1","CAKZHG010000205.1_1","CAKZHG010000205.1_1",1,"Mok_Hok_Sok__Mok","GCA_936920615.1","GCA_936920615.1"
"64","GCA_936920615.1_SRR3184099_bin.6_CONCOCT_v1.1_MAG_genomic_plasmid_proteins_VcaM4I_3","VcaM4I","VcaM4I","Defense","CAKZHG010000372.1_13","CAKZHG010000372.1_13","CAKZHG010000372.1_13",1,"VcaM4I__VcaM4I","GCA_936920615.1","GCA_936920615.1"
"65","GCA_936920615.1_SRR3184099_bin.6_CONCOCT_v1.1_MAG_genomic_plasmid_proteins_HEC-09_1","HEC-09","HEC-09","Defense","CAKZHG010000448.1_4","CAKZHG010000448.1_4","CAKZHG010000448.1_4",1,"HEC-09__HEC-09","GCA_936920615.1","GCA_936920615.1"
"66","GCA_937876675.1_SRR3742170_bin.6_CONCOCT_v1.1_MAG_genomic_plasmid_proteins_Thoeris_IV_3","Thoeris","Thoeris_IV","Defense","CALFHL010000268.1_4","CALFHL010000268.1_5","CALFHL010000268.1_4,CALFHL010000268.1_5",2,"Thoeris__ThsA_Caps4,Thoeris__ThsB_5","GCA_937876675.1","GCA_937876675.1"
"67","GCA_937876675.1_SRR3742170_bin.6_CONCOCT_v1.1_MAG_genomic_plasmid_proteins_RM_Type_II_5","RM","RM_Type_II","Defense","CALFHL010000330.1_2","CALFHL010000330.1_3","CALFHL010000330.1_2,CALFHL010000330.1_3",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase09","GCA_937876675.1","GCA_937876675.1"
"68","GCA_937876675.1_SRR3742170_bin.6_CONCOCT_v1.1_MAG_genomic_plasmid_proteins_AbiD_1","AbiD","AbiD","Defense","CALFHL010000665.1_25","CALFHL010000665.1_25","CALFHL010000665.1_25",1,"AbiD__AbiD","GCA_937876675.1","GCA_937876675.1"
"69","GCA_937876675.1_SRR3742170_bin.6_CONCOCT_v1.1_MAG_genomic_plasmid_proteins_AbiU_2","AbiU","AbiU","Defense","CALFHL010000667.1_1","CALFHL010000667.1_1","CALFHL010000667.1_1",1,"AbiU__AbiU","GCA_937876675.1","GCA_937876675.1"
"70","GCA_943914455.1_10Bqi3VEdU_bin.12.MAG_genomic_plasmid_proteins_HEC-09_1","HEC-09","HEC-09","Defense","CALUCA010000047.1_8","CALUCA010000047.1_8","CALUCA010000047.1_8",1,"HEC-09__HEC-09","GCA_943914455.1","GCA_943914455.1"
"71","GCF_000026185.1_ASM2618v1_genomic_plasmid_proteins_RM_Type_III_2","RM","RM_Type_III","Defense","NC_010695.1_3","NC_010695.1_4","NC_010695.1_3,NC_010695.1_4",2,"RM_Type_III__Type_III_MTases_FAM_1,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","GCF_000026185.1","GCF_000026185.1"
"72","GCF_000196615.1_ASM19661v1_genomic_plasmid_proteins_gcu24_3","gcu24","gcu24","Defense","NC_014304.1_10","NC_014304.1_10","NC_014304.1_10",1,"gcu24__gcu24","GCF_000196615.1","GCF_000196615.1"
"73","GCF_000196615.1_ASM19661v1_genomic_plasmid_proteins_PD-T7-5_2","PD-T7-5","PD-T7-5","Defense","NC_014304.1_44","NC_014304.1_44","NC_014304.1_44",1,"PD-T7-5__PD-T7-5","GCF_000196615.1","GCF_000196615.1"
"74","GCF_000196615.1_ASM19661v1_genomic_plasmid_proteins_MazEF_1","MazEF","MazEF","Defense","NC_014305.1_101","NC_014305.1_102","NC_014305.1_101,NC_014305.1_102",2,"MazEF__MazE,MazEF__MazF","GCF_000196615.1","GCF_000196615.1"
"75","GCF_000240705.2_ASM24070v2_genomic_plasmid_proteins_PD-T7-5_1","PD-T7-5","PD-T7-5","Defense","NC_018999.1_51","NC_018999.1_51","NC_018999.1_51",1,"PD-T7-5__PD-T7-5","GCF_000240705.2_ASM24070v2_genomic_plasmid_proteins/GCF_000240705.2_ASM24070v2_genomic_plasmid_proteins_systems.tsv","GCF_000240705.2_ASM24070v2_genomic_plasmid_proteins/GCF_000240705.2_ASM24070v2_genomic_plasmid_proteins_systems.tsv"
"76","GCF_000367565.1_ASM36756v2_genomic_plasmid_proteins_Prometheus_2","Prometheus","Prometheus","Defense","NZ_CAOY01000021.1_1","NZ_CAOY01000021.1_1","NZ_CAOY01000021.1_1",1,"Prometheus__ProA","GCF_000367565.1","GCF_000367565.1"
"77","GCF_000367565.1_ASM36756v2_genomic_plasmid_proteins_Other_Type_IV_1","Other_Type_IV","Other_Type_IV","Defense","NZ_CAOY01000021.1_2","NZ_CAOY01000021.1_2","NZ_CAOY01000021.1_2",1,"RM_Type_IV__Type_IV_03","GCF_000367565.1","GCF_000367565.1"
"78","GCF_000367565.1_ASM36756v2_genomic_plasmid_proteins_Other_Type_IV_1","Other_Type_IV","Other_Type_IV","Defense","NZ_CAOY01000021.1_2","NZ_CAOY01000021.1_2","NZ_CAOY01000021.1_2",1,"RM_Type_IV__Type_IV_03","GCF_000367565.1","GCF_000367565.1"
"79","GCF_000367565.1_ASM36756v2_genomic_plasmid_proteins_RM_Type_IV_3","RM","RM_Type_IV","Defense","NZ_CAOY01000021.1_2","NZ_CAOY01000021.1_2","NZ_CAOY01000021.1_2",1,"RM_Type_IV__Type_IV_03","GCF_000367565.1","GCF_000367565.1"
"80","GCF_000367565.1_ASM36756v2_genomic_plasmid_proteins_RM_Type_IV_3","RM","RM_Type_IV","Defense","NZ_CAOY01000021.1_2","NZ_CAOY01000021.1_2","NZ_CAOY01000021.1_2",1,"RM_Type_IV__Type_IV_03","GCF_000367565.1","GCF_000367565.1"
"81","GCF_000590885.1_MSR-CA7.0_genomic_plasmid_proteins_Thoeris_VIII_6","Thoeris","Thoeris_VIII","Defense","NZ_JFHN01000021.1_44","NZ_JFHN01000021.1_45","NZ_JFHN01000021.1_44,NZ_JFHN01000021.1_45",2,"Thoeris__ThsB_9,Thoeris__ThsI_CMP_TPR","GCF_000590885.1","GCF_000590885.1"
"82","GCF_000590885.1_MSR-CA7.0_genomic_plasmid_proteins_PD-T4-3_2","PD-T4-3","PD-T4-3","Defense","NZ_JFHN01000049.1_58","NZ_JFHN01000049.1_58","NZ_JFHN01000049.1_58",1,"PD-T4-3__PD-T4-3","GCF_000590885.1","GCF_000590885.1"
