"","seq_name","length","topology","coordinates","n_genes","genetic_code","virus_score","fdr","n_hallmarks","marker_enrichment","taxonomy","Genome"
"38","LAGQ01000029.1|provirus_201675_228437",26763,"Provirus","201675-228437","45",11,0.999,NA,8,36.6626,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001602555.1_ASM160255v1_genomic_summary/GCA_001602555.1_ASM160255v1_genomic_virus_summary.tsv"
"39","LAGQ01000190.1",1482,"No","terminal","repeats",NA,4,11,0.9941,NA,"2","GCA_001602555.1_ASM160255v1_genomic_summary/GCA_001602555.1_ASM160255v1_genomic_virus_summary.tsv"
"40","MAZB01000046.1|provirus_1_6420",6420,"Provirus","1-6420","11",11,0.9996,NA,1,10.1351,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"41","MAZB01000094.1",7741,"No","terminal","repeats",NA,12,11,0.9996,NA,"3","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"42","MAZB01000007.1|provirus_256_15914",15659,"Provirus","256-15914","26",11,0.9996,NA,12,24.9887,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"43","MAZB01000054.1",11231,"No","terminal","repeats",NA,14,11,0.999,NA,"3","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"44","MAZB01000063.1",10205,"No","terminal","repeats",NA,15,11,0.9986,NA,"4","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"45","MAZB01000142.1",5282,"No","terminal","repeats",NA,10,11,0.9984,NA,"0","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"46","MAZB01000067.1|provirus_5700_10020",4321,"Provirus","5700-10020","9",11,0.9983,NA,3,9.8224,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"47","MAZB01000127.1",5905,"No","terminal","repeats",NA,6,11,0.9978,NA,"1","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"48","MAZB01000082.1",8502,"No","terminal","repeats",NA,12,11,0.9978,NA,"4","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"49","MAZB01000144.1",5171,"No","terminal","repeats",NA,7,11,0.9976,NA,"0","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"50","MAZB01000061.1",10330,"ITR",NA,"17",11,0.9975,NA,4,12.8273,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"51","MAZB01000047.1",11953,"No","terminal","repeats",NA,16,11,0.9952,NA,"2","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"52","MAZB01000115.1",6449,"No","terminal","repeats",NA,7,11,0.9686,NA,"0","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"53","MAZB01000076.1",9254,"No","terminal","repeats",NA,11,11,0.9388,NA,"0","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"54","MAZB01000201.1",3584,"No","terminal","repeats",NA,3,11,0.9022,NA,"0","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"55","MAZB01000147.1",5034,"No","terminal","repeats",NA,4,11,0.8375,NA,"0","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"56","MAZB01000176.1",4235,"No","terminal","repeats",NA,5,11,0.7761,NA,"0","GCA_001689725.1_ASM168972v1_genomic_summary/GCA_001689725.1_ASM168972v1_genomic_virus_summary.tsv"
"57","DBOK01000144.1|provirus_6481_12814",6334,"Provirus","6481-12814","11",11,0.9996,NA,2,13.5446,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002299595.1_ASM229959v1_genomic_summary/GCA_002299595.1_ASM229959v1_genomic_virus_summary.tsv"
"58","DBOK01000058.1|provirus_21883_38870",16988,"Provirus","21883-38870","23",11,0.9994,NA,6,24.9651,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002299595.1_ASM229959v1_genomic_summary/GCA_002299595.1_ASM229959v1_genomic_virus_summary.tsv"
"59","DENB01000095.1|provirus_21863_53127",31265,"Provirus","21863-53127","42",11,0.9997,NA,23,51.687,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002359495.1_ASM235949v1_genomic_summary/GCA_002359495.1_ASM235949v1_genomic_virus_summary.tsv"
"60","DENB01000033.1|provirus_6046_21557",15512,"Provirus","6046-21557","23",11,0.9997,NA,1,23.5063,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002359495.1_ASM235949v1_genomic_summary/GCA_002359495.1_ASM235949v1_genomic_virus_summary.tsv"
"61","DENB01000055.1|provirus_54174_101730",47557,"Provirus","54174-101730","70",11,0.9996,NA,11,77.3373,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002359495.1_ASM235949v1_genomic_summary/GCA_002359495.1_ASM235949v1_genomic_virus_summary.tsv"
"62","DENB01000038.1|provirus_32853_75396",42544,"Provirus","32853-75396","57",11,0.9983,NA,15,44.0675,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002359495.1_ASM235949v1_genomic_summary/GCA_002359495.1_ASM235949v1_genomic_virus_summary.tsv"
"63","DICA01000013.1|provirus_86827_110646",23820,"Provirus","86827-110646","39",11,0.9996,NA,6,33.2512,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002415165.1_ASM241516v1_genomic_summary/GCA_002415165.1_ASM241516v1_genomic_virus_summary.tsv"
"64","DICA01000040.1|provirus_85192_122846",37655,"Provirus","85192-122846","45",11,0.9996,NA,22,52.1667,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002415165.1_ASM241516v1_genomic_summary/GCA_002415165.1_ASM241516v1_genomic_virus_summary.tsv"
"65","DICA01000019.1|provirus_26_15898",15873,"Provirus","26-15898","24",11,0.9995,NA,14,27.8898,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002415165.1_ASM241516v1_genomic_summary/GCA_002415165.1_ASM241516v1_genomic_virus_summary.tsv"
"66","NQJK01000007.1|provirus_340793_356602",15810,"Provirus","340793-356602","19",11,0.9915,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002732135.1_ASM273213v1_genomic_summary/GCA_002732135.1_ASM273213v1_genomic_virus_summary.tsv"
"67","MTCH01000028.1|provirus_7396_41950",34555,"Provirus","7396-41950","45",11,0.9996,NA,15,49.8529,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002752575.1_ASM275257v1_genomic_summary/GCA_002752575.1_ASM275257v1_genomic_virus_summary.tsv"
"68","MTCH01000054.1|provirus_115_5807",5693,"Provirus","115-5807","7",11,0.9994,NA,5,8.759,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002752575.1_ASM275257v1_genomic_summary/GCA_002752575.1_ASM275257v1_genomic_virus_summary.tsv"
"69","MTCH01000053.1|provirus_23755_30527",6773,"Provirus","23755-30527","13",11,0.9993,NA,10,17.9458,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_002752575.1_ASM275257v1_genomic_summary/GCA_002752575.1_ASM275257v1_genomic_virus_summary.tsv"
"70","MTCH01000109.1",16982,"No","terminal","repeats",NA,20,11,0.9943,NA,"2","GCA_002752575.1_ASM275257v1_genomic_summary/GCA_002752575.1_ASM275257v1_genomic_virus_summary.tsv"
"71","MTCH01000166.1",6932,"No","terminal","repeats",NA,10,11,0.9896,NA,"0","GCA_002752575.1_ASM275257v1_genomic_summary/GCA_002752575.1_ASM275257v1_genomic_virus_summary.tsv"
"72","MTCH01000065.1",27270,"No","terminal","repeats",NA,40,11,0.9621,NA,"0","GCA_002752575.1_ASM275257v1_genomic_summary/GCA_002752575.1_ASM275257v1_genomic_virus_summary.tsv"
"73","MTCH01000287.1",713,"No","terminal","repeats",NA,1,11,0.9173,NA,"1","GCA_002752575.1_ASM275257v1_genomic_summary/GCA_002752575.1_ASM275257v1_genomic_virus_summary.tsv"
"74","DNUQ01000329.1",12565,"No","terminal","repeats",NA,14,11,0.9998,NA,"4","GCA_003507845.1_ASM350784v1_genomic_summary/GCA_003507845.1_ASM350784v1_genomic_virus_summary.tsv"
"75","DNUQ01000033.1",2829,"No","terminal","repeats",NA,2,11,0.9995,NA,"0","GCA_003507845.1_ASM350784v1_genomic_summary/GCA_003507845.1_ASM350784v1_genomic_virus_summary.tsv"
"76","DNUQ01000019.1",3410,"No","terminal","repeats",NA,4,11,0.9994,NA,"1","GCA_003507845.1_ASM350784v1_genomic_summary/GCA_003507845.1_ASM350784v1_genomic_virus_summary.tsv"
"77","DNUQ01000096.1",2717,"No","terminal","repeats",NA,8,11,0.9993,NA,"0","GCA_003507845.1_ASM350784v1_genomic_summary/GCA_003507845.1_ASM350784v1_genomic_virus_summary.tsv"
"78","DNUQ01000098.1",3614,"No","terminal","repeats",NA,7,11,0.9983,NA,"4","GCA_003507845.1_ASM350784v1_genomic_summary/GCA_003507845.1_ASM350784v1_genomic_virus_summary.tsv"
"79","DNUQ01000028.1",2854,"No","terminal","repeats",NA,2,11,0.8741,NA,"0","GCA_003507845.1_ASM350784v1_genomic_summary/GCA_003507845.1_ASM350784v1_genomic_virus_summary.tsv"
"80","DNUQ01000162.1",7574,"No","terminal","repeats",NA,8,11,0.8481,NA,"0","GCA_003507845.1_ASM350784v1_genomic_summary/GCA_003507845.1_ASM350784v1_genomic_virus_summary.tsv"
"81","DNUQ01000012.1",5430,"No","terminal","repeats",NA,5,11,0.8064,NA,"0","GCA_003507845.1_ASM350784v1_genomic_summary/GCA_003507845.1_ASM350784v1_genomic_virus_summary.tsv"
"82","DNUM01000268.1",7389,"No","terminal","repeats",NA,10,11,0.9994,NA,"8","GCA_003507915.1_ASM350791v1_genomic_summary/GCA_003507915.1_ASM350791v1_genomic_virus_summary.tsv"
"83","DNUM01000085.1",6254,"No","terminal","repeats",NA,7,11,0.9964,NA,"1","GCA_003507915.1_ASM350791v1_genomic_summary/GCA_003507915.1_ASM350791v1_genomic_virus_summary.tsv"
"84","DNUM01000138.1",3380,"No","terminal","repeats",NA,5,11,0.9947,NA,"0","GCA_003507915.1_ASM350791v1_genomic_summary/GCA_003507915.1_ASM350791v1_genomic_virus_summary.tsv"
"85","DNUM01000508.1",3049,"No","terminal","repeats",NA,3,11,0.9751,NA,"0","GCA_003507915.1_ASM350791v1_genomic_summary/GCA_003507915.1_ASM350791v1_genomic_virus_summary.tsv"
"86","DNUM01000397.1",7977,"No","terminal","repeats",NA,8,11,0.9233,NA,"0","GCA_003507915.1_ASM350791v1_genomic_summary/GCA_003507915.1_ASM350791v1_genomic_virus_summary.tsv"
"87","DNUM01000376.1",2959,"No","terminal","repeats",NA,4,11,0.7502,NA,"1","GCA_003507915.1_ASM350791v1_genomic_summary/GCA_003507915.1_ASM350791v1_genomic_virus_summary.tsv"
"88","DNUL01000204.1",3730,"No","terminal","repeats",NA,8,11,0.9994,NA,"7","GCA_003507935.1_ASM350793v1_genomic_summary/GCA_003507935.1_ASM350793v1_genomic_virus_summary.tsv"
"89","DNUL01000041.1",3048,"No","terminal","repeats",NA,2,11,0.9943,NA,"0","GCA_003507935.1_ASM350793v1_genomic_summary/GCA_003507935.1_ASM350793v1_genomic_virus_summary.tsv"
"90","DNUL01000318.1",5685,"No","terminal","repeats",NA,3,11,0.8783,NA,"0","GCA_003507935.1_ASM350793v1_genomic_summary/GCA_003507935.1_ASM350793v1_genomic_virus_summary.tsv"
"91","DNUL01000363.1",2697,"No","terminal","repeats",NA,4,11,0.8249,NA,"0","GCA_003507935.1_ASM350793v1_genomic_summary/GCA_003507935.1_ASM350793v1_genomic_virus_summary.tsv"
"92","DNUL01000359.1",4318,"No","terminal","repeats",NA,4,11,0.7865,NA,"0","GCA_003507935.1_ASM350793v1_genomic_summary/GCA_003507935.1_ASM350793v1_genomic_virus_summary.tsv"
"93","DOLK01000333.1",3597,"No","terminal","repeats",NA,4,11,0.9997,NA,"4","GCA_003509515.1_ASM350951v1_genomic_summary/GCA_003509515.1_ASM350951v1_genomic_virus_summary.tsv"
"94","DOLK01000143.1",3547,"No","terminal","repeats",NA,8,11,0.9994,NA,"6","GCA_003509515.1_ASM350951v1_genomic_summary/GCA_003509515.1_ASM350951v1_genomic_virus_summary.tsv"
"95","DOLK01000487.1|provirus_561_4661",4101,"Provirus","561-4661","6",11,0.999,NA,1,7.1652,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_003509515.1_ASM350951v1_genomic_summary/GCA_003509515.1_ASM350951v1_genomic_virus_summary.tsv"
"96","DOLK01000274.1",4086,"No","terminal","repeats",NA,5,11,0.9977,NA,"2","GCA_003509515.1_ASM350951v1_genomic_summary/GCA_003509515.1_ASM350951v1_genomic_virus_summary.tsv"
"97","DOLK01000018.1",4630,"No","terminal","repeats",NA,2,11,0.9779,NA,"0","GCA_003509515.1_ASM350951v1_genomic_summary/GCA_003509515.1_ASM350951v1_genomic_virus_summary.tsv"
"98","DOLK01000459.1",10447,"No","terminal","repeats",NA,10,11,0.9414,NA,"0","GCA_003509515.1_ASM350951v1_genomic_summary/GCA_003509515.1_ASM350951v1_genomic_virus_summary.tsv"
"99","DOLI01000537.1",2747,"No","terminal","repeats",NA,5,11,0.9997,NA,"0","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"100","DOLI01000462.1",3147,"No","terminal","repeats",NA,2,11,0.9993,NA,"0","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"101","DOLI01000393.1",3262,"No","terminal","repeats",NA,5,11,0.9993,NA,"1","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"102","DOLI01000203.1",5345,"No","terminal","repeats",NA,8,11,0.9992,NA,"6","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"103","DOLI01000484.1",3171,"No","terminal","repeats",NA,8,11,0.9987,NA,"6","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"104","DOLI01000499.1",4126,"No","terminal","repeats",NA,5,11,0.9978,NA,"2","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"105","DOLI01000295.1",3614,"No","terminal","repeats",NA,2,11,0.9956,NA,"0","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"106","DOLI01000273.1",6122,"No","terminal","repeats",NA,2,11,0.983,NA,"0","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"107","DOLI01000033.1",11098,"No","terminal","repeats",NA,10,11,0.9413,NA,"0","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"108","DOLI01000066.1",3337,"No","terminal","repeats",NA,3,11,0.9007,NA,"0","GCA_003510065.1_ASM351006v1_genomic_summary/GCA_003510065.1_ASM351006v1_genomic_virus_summary.tsv"
"109","DOLJ01000384.1",2989,"No","terminal","repeats",NA,5,11,0.9986,NA,"3","GCA_003510685.1_ASM351068v1_genomic_summary/GCA_003510685.1_ASM351068v1_genomic_virus_summary.tsv"
"110","DOLJ01000231.1",2726,"No","terminal","repeats",NA,2,11,0.9938,NA,"0","GCA_003510685.1_ASM351068v1_genomic_summary/GCA_003510685.1_ASM351068v1_genomic_virus_summary.tsv"
"111","DOLJ01000280.1",3548,"No","terminal","repeats",NA,2,11,0.9466,NA,"0","GCA_003510685.1_ASM351068v1_genomic_summary/GCA_003510685.1_ASM351068v1_genomic_virus_summary.tsv"
"112","DOLJ01000052.1",2539,"No","terminal","repeats",NA,2,11,0.9337,NA,"1","GCA_003510685.1_ASM351068v1_genomic_summary/GCA_003510685.1_ASM351068v1_genomic_virus_summary.tsv"
"113","DOLJ01000163.1",5505,"No","terminal","repeats",NA,3,11,0.9084,NA,"0","GCA_003510685.1_ASM351068v1_genomic_summary/GCA_003510685.1_ASM351068v1_genomic_virus_summary.tsv"
"114","DOLJ01000313.1",3928,"No","terminal","repeats",NA,6,11,0.7386,NA,"0","GCA_003510685.1_ASM351068v1_genomic_summary/GCA_003510685.1_ASM351068v1_genomic_virus_summary.tsv"
"115","DOOK01000323.1",4445,"No","terminal","repeats",NA,11,11,0.9998,NA,"8","GCA_003512805.1_ASM351280v1_genomic_summary/GCA_003512805.1_ASM351280v1_genomic_virus_summary.tsv"
